pop 75,pop 100,pop 125,pop 300,stack 40,stack 50,stack 60,stack 100,dif 0.1,dif 0.4,dif 0.7,dif 1.0,cross 0.4,cross 0.6,cross 0.8,cross 1.0,mut 0.4,mut 0.6,mut 0.8,mut 1.0
1.67E-05,1.56E-10,1.21E-04,1.86E-04,1.67E-05,1.56E-10,9.43E-05,1.86E-04,1.56E-10,1.67E-05,1.55E-05,4.25E-04,1.56E-10,1.67E-05,3.43E-11,9.41E-07,1.56E-10,1.67E-05,6.78E-10,4.85E-05
5.67E-05,1.38E-06,1.51E-04,2.08E-04,5.67E-05,1.38E-06,2.05E-04,2.08E-04,1.38E-06,5.67E-05,4.70E-04,4.77E-04,1.38E-06,5.67E-05,3.56E-07,5.54E-05,1.38E-06,5.67E-05,1.98E-05,1.24E-04
8.71E-05,7.01E-06,3.60E-04,3.94E-04,8.71E-05,7.01E-06,3.97E-04,3.94E-04,7.01E-06,8.71E-05,8.45E-04,5.00E-04,7.01E-06,8.71E-05,1.65E-05,7.39E-05,7.01E-06,8.71E-05,1.73E-04,2.02E-04
1.01E-04,1.12E-04,3.94E-04,3.96E-04,1.01E-04,1.12E-04,5.00E-04,3.96E-04,1.12E-04,1.01E-04,9.84E-04,8.99E-04,1.12E-04,1.01E-04,5.67E-05,2.35E-04,1.12E-04,1.01E-04,2.07E-04,3.05E-04
4.70E-04,1.25E-04,7.14E-04,3.99E-04,4.70E-04,1.25E-04,6.56E-04,3.99E-04,1.25E-04,4.70E-04,1.40E-03,9.38E-04,1.25E-04,4.70E-04,1.45E-04,5.00E-04,1.25E-04,4.70E-04,3.94E-04,3.71E-04
4.85E-05,6.78E-10,9.99E-07,4.15E-05,4.85E-05,6.78E-10,2.03E-05,4.15E-05,6.78E-10,4.85E-05,1.74E-04,1.03E-07,6.78E-10,4.85E-05,3.14E-11,1.25E-06,3.43E-11,9.41E-07,3.14E-11,1.25E-06
1.24E-04,1.98E-05,3.25E-05,2.44E-04,1.24E-04,1.98E-05,9.58E-05,2.44E-04,1.98E-05,1.24E-04,3.20E-04,4.25E-04,1.98E-05,1.24E-04,2.21E-05,3.15E-05,3.56E-07,5.54E-05,2.21E-05,3.15E-05
2.02E-04,1.73E-04,1.81E-04,2.70E-04,2.02E-04,1.73E-04,2.25E-04,2.70E-04,1.73E-04,2.02E-04,3.43E-04,4.49E-04,1.73E-04,2.02E-04,3.24E-04,8.47E-05,1.65E-05,7.39E-05,3.24E-04,8.47E-05
3.05E-04,2.07E-04,2.40E-04,2.44E-04,3.05E-04,2.07E-04,4.72E-04,2.44E-04,2.07E-04,3.05E-04,4.01E-04,5.37E-04,2.07E-04,3.05E-04,3.64E-04,4.10E-04,5.67E-05,2.35E-04,3.64E-04,4.10E-04
3.71E-04,3.94E-04,3.87E-04,2.70E-04,3.71E-04,3.94E-04,4.73E-04,2.70E-04,3.94E-04,3.71E-04,4.37E-04,1.42E-03,3.94E-04,3.71E-04,6.21E-04,5.00E-04,1.45E-04,5.00E-04,6.21E-04,5.00E-04
